# voltage,resistance
-0.500000,2.353302867129343e+00
0.000000,2.075864879891789e+00
0.500000,2.060509686146955e+00
1.000000,2.048664503739617e+00
1.500000,2.037315495684612e+00
2.000000,2.026109809912746e+00
2.500000,2.014981913940142e+00
3.000000,2.003986800273596e+00
3.500000,1.993188069446781e+00
4.000000,1.982612413835160e+00
