# voltage,resistance
-0.500000,4.479175330008659e+02
0.000000,2.082862637655108e+00
0.500000,2.075836360566645e+00
1.000000,2.123178860222184e+00
1.500000,1.884114470760697e+00
2.000000,2.068726051802037e+00
2.500000,1.712465761598377e+00
3.000000,1.612525459624308e+00
3.500000,1.726456223073561e+00
4.000000,1.642957295609340e+00
