# voltage,resistance
-0.500000,2.130185475450507e+00
0.000000,2.075523783132427e+00
0.500000,2.060169429480294e+00
1.000000,2.048322627857992e+00
1.500000,2.036987314487781e+00
2.000000,2.025762223990165e+00
2.500000,2.014673831770639e+00
3.000000,2.003693866446555e+00
3.500000,1.992882532054146e+00
4.000000,1.982317426927059e+00
