# voltage,capacitance
-0.500000,2.343724814061543e-12
0.000000,1.807176943739875e-12
0.500000,1.626263329459237e-12
1.000000,1.503437488646797e-12
1.500000,1.406665213810020e-12
2.000000,1.326774022728982e-12
2.500000,1.259376073054010e-12
3.000000,1.201294903830911e-12
3.500000,1.150636272814835e-12
4.000000,1.106105567028240e-12
