# voltage,capacitance
-0.500000,2.126507342403994e-12
0.000000,1.708121778595182e-12
0.500000,1.553969477382615e-12
1.000000,1.446337000967517e-12
1.500000,1.359995018493877e-12
2.000000,1.287748036654250e-12
2.500000,1.226147633490666e-12
3.000000,1.172602542064895e-12
3.500000,1.125564278599042e-12
4.000000,1.083965278633905e-12
