# voltage,capacitance
-0.500000,2.344476618027768e-12
0.000000,1.807187353341953e-12
0.500000,1.626271041950945e-12
1.000000,1.503443533114272e-12
1.500000,1.406669997364261e-12
2.000000,1.326777997715543e-12
2.500000,1.259379499571586e-12
3.000000,1.201297906274530e-12
3.500000,1.150638879456094e-12
4.000000,1.106107862681930e-12
