# voltage,VpiL
0.000000,1.783940987012987
0.500000,2.215539612903226
1.000000,2.543767703703704
1.500000,2.891862231578948
2.000000,3.309962795180724
2.500000,3.712525837837839
3.000000,4.100401671641792
3.500000,4.578781866666667
